tarih,min_trafik_indeksi,max_trafik_indeksi,ort_trafik_indeksi
2016-06-12,1,35,10.48
2016-06-13,1,60,28.76
2016-06-14,1,87,39.59
2016-06-15,2,72,33.86
2016-06-16,1,72,35.52
2016-06-17,1,78,36.17
2016-06-18,1,62,26.52
2016-06-19,1,47,15.05
2016-06-20,2,72,34.49
2016-06-21,1,69,35.2
2016-06-22,1,69,34.07
2016-06-23,1,72,34.19
2016-06-24,1,80,37.6
2016-06-25,2,54,27.76
2016-06-26,1,45,15.18
2016-06-27,4,65,34.21
2016-06-28,2,74,39.23
2016-06-29,2,74,38.11
2016-06-30,2,90,46.12
2016-07-01,9,71,33.28
2016-07-02,4,44,23.44
2016-07-03,1,29,8.92
2016-07-04,1,20,6.71
2016-07-05,1,47,19.73
2016-07-06,1,33,12.56
2016-07-07,1,18,7.42
2016-07-08,1,18,7.18
2016-07-09,1,17,7.59
2016-07-10,1,15,6.22
2016-07-11,1,49,19.9
2016-07-12,1,58,27.54
2016-07-13,1,63,31.43
2016-07-14,1,65,33.03
2016-07-15,2,72,35.7
2016-07-16,8,42,22.57
2016-07-17,1,36,15.79
2016-07-18,2,69,37.95
2016-07-19,2,65,33.61
2016-07-20,2,65,33.59
2016-07-21,1,63,32.66
2016-07-22,1,76,35.79
2016-07-23,1,60,27.81
2016-07-24,1,31,14.13
2016-07-25,1,62,29.08
2016-07-26,2,63,30.79
2016-07-27,4,74,33.55
2016-07-28,4,65,34.95
2016-07-29,2,72,36.31
2016-07-30,2,60,30.38
2016-07-31,1,38,16.19
2016-08-01,4,65,32.91
2016-08-02,2,72,32.22
2016-08-03,1,90,34.64
2016-08-04,1,71,36.33
2016-08-05,4,78,37.32
2016-08-06,1,63,29.02
2016-08-07,1,38,12.59
2016-08-08,1,62,28.33
2016-08-09,1,62,29.48
2016-08-10,1,62,31.92
2016-08-11,2,71,35.0
2016-08-12,4,78,38.29
2016-08-13,6,63,31.08
2016-08-14,1,36,16.49
2016-08-15,1,62,31.47
2016-08-16,1,63,30.06
2016-08-17,1,90,41.86
2016-08-18,2,72,38.15
2016-08-19,1,69,35.65
2016-08-20,4,60,32.46
2016-08-21,1,40,19.24
2016-08-22,1,56,30.92
2016-08-23,2,67,35.01
2016-08-24,4,69,37.1
2016-08-25,9,72,42.06
2016-08-26,2,76,37.83
2016-08-27,2,53,26.39
2016-08-28,1,38,18.16
2016-08-29,1,56,26.6
2016-08-30,1,36,15.87
2016-08-31,1,80,28.53
2016-09-01,1,65,31.69
2016-09-02,2,78,35.16
2016-09-03,1,58,28.36
2016-09-04,1,42,20.65
2016-09-05,1,65,32.4
2016-09-06,1,71,30.91
2016-09-07,1,69,29.95
2016-09-08,1,71,36.85
2016-09-09,1,69,32.06
2016-09-10,1,40,16.35
2016-09-11,1,13,4.68
2016-09-12,1,33,11.15
2016-09-13,1,47,18.48
2016-09-14,1,36,14.95
2016-09-15,1,26,9.81
2016-09-16,1,26,8.51
2016-09-17,1,24,10.54
2016-09-18,1,22,9.33
2016-09-19,1,60,20.6
2016-09-20,1,74,32.45
2016-09-21,2,72,34.8
2016-09-22,1,74,33.13
2016-09-23,2,76,36.89
2016-09-24,1,69,29.88
2016-09-25,1,53,24.62
2016-09-26,4,65,30.26
2016-09-27,1,65,28.64
2016-09-28,1,63,26.47
2016-09-29,1,76,27.95
2016-09-30,1,69,31.31
2016-10-01,1,63,29.94
2016-10-02,1,53,23.19
2016-10-03,1,65,25.45
2016-10-04,1,60,27.36
2016-10-05,1,62,29.45
2016-10-06,1,67,28.4
2016-10-07,1,71,28.83
2016-10-08,1,62,29.12
2016-10-09,1,49,20.5
2016-10-10,1,65,24.46
2016-10-11,1,80,27.92
2016-10-12,1,65,26.3
2016-10-13,1,72,30.97
2016-10-14,1,72,31.34
2016-10-15,1,62,28.96
2016-10-16,1,53,21.26
2016-10-17,2,72,31.37
2016-10-18,2,71,31.22
2016-10-19,1,67,27.45
2016-10-20,1,67,27.64
2016-10-21,1,71,30.9
2016-10-22,1,65,29.52
2016-10-23,1,49,22.15
2016-10-24,1,63,24.42
2016-10-25,1,62,26.48
2016-10-26,1,69,28.42
2016-10-27,1,72,32.46
2016-10-28,1,60,32.47
2016-10-29,1,44,18.8
2016-10-30,1,51,19.9
2016-10-31,1,65,24.68
2016-11-01,1,74,27.39
2016-11-02,1,69,28.3
2016-11-03,1,71,28.76
2016-11-04,1,72,34.37
2016-11-05,1,56,25.67
2016-11-06,1,47,16.94
2016-11-07,1,60,23.31
2016-11-08,1,69,26.49
2016-11-09,1,65,25.26
2016-11-10,1,74,32.12
2016-11-11,1,74,30.82
2016-11-12,1,63,27.85
2016-11-13,1,53,22.16
2016-11-14,1,67,25.34
2016-11-15,1,69,29.5
2016-11-16,1,69,26.8
2016-11-17,1,81,31.17
2016-11-18,1,69,28.56
2016-11-19,1,62,26.14
2016-11-20,1,45,17.12
2016-11-21,1,65,24.77
2016-11-22,1,67,27.04
2016-11-23,1,72,27.5
2016-11-24,1,72,29.28
2016-11-25,1,69,27.28
2016-11-26,1,60,23.78
2016-11-27,1,51,18.94
2016-11-28,2,81,39.58
2016-11-29,6,80,41.98
2016-11-30,2,67,31.55
2016-12-01,1,71,25.89
2016-12-02,1,78,31.76
2016-12-03,1,62,26.05
2016-12-04,1,49,18.49
2016-12-05,1,69,26.45
2016-12-06,1,80,34.72
2016-12-07,1,78,31.77
2016-12-08,1,80,30.21
2016-12-09,1,76,30.68
2016-12-10,1,65,28.57
2016-12-11,1,47,19.37
2016-12-12,1,78,31.41
2016-12-13,9,81,38.0
2016-12-14,2,63,29.26
2016-12-15,1,74,32.87
2016-12-16,8,87,35.94
2016-12-17,11,45,24.79
2016-12-18,1,44,17.83
2016-12-19,2,63,25.86
2016-12-20,4,81,32.88
2016-12-21,9,78,36.98
2016-12-22,8,78,35.04
2016-12-23,9,72,37.79
2016-12-24,9,56,29.59
2016-12-25,1,42,17.06
2016-12-26,2,72,30.02
2016-12-27,1,74,32.06
2016-12-28,4,67,30.25
