hat_kodu,SHATADI,HAT_UZUNLUGU,SEFER_SURESI,oran_haziran,sefer_haziran,yolcu_haziran,oran_aralik,sefer_aralik,yolcu_aralik,ortalama_oran,ortalama_sefer,ortalama_yolcu,ortalama_yolcu_sefer,verimlilik_tier,kok_kod,supheli_kod_eslesmesi,hat_tipi_kume,hat_tipi_ad
79FY,FENERTEPE-YENİBOSNA METRO,30.26874,142.15,0.5291657364920618,1688,27037,0.5384157704632913,1659,27037,0.5337907534776765,1673.5,27037.0,16.155960561697043,alt_ceyrek,79,False,3,uzun_kirsal
79G,KAYAŞEHİR - ZEYTİNBURNU,30.97546,150.32,2.0025762653124377,1595,98939,1.7473244765718476,1828,98939,1.874950370942143,1711.5,98939.0,57.80835524393807,orta_ust,79,False,3,uzun_kirsal
79GE,GÜVERCİNTEPE/FENERTEPE-EMİNÖNÜ,39.27429,189.58,2.83156098225611,212,23576,1.6401391481920635,366,23576,2.2358500652240867,289.0,23576.0,81.57785467128028,ust_ceyrek,79,False,3,uzun_kirsal
79K,KAYAŞEHİR - YENİBOSNA METRO,29.73047,136.81,1.1859068485490247,1949,68717,0.7766574085423552,2976,68717,0.98128212854569,2462.5,68717.0,27.905380710659895,orta_alt,79,False,3,uzun_kirsal
79KM,KAYAŞEHİR - MECİDİYEKÖY,39.88395,193.75,1.60142676019338,2384,152269,1.5054421909704332,2536,152269,1.5534344755819065,2460.0,152269.0,61.8979674796748,orta_ust,79,False,3,uzun_kirsal
79KT,KAYABAŞI KİPTAŞ - TEKSTİLKENT METRO,25.16398,130.45,2.02038869083665,1019,51807,1.6944659061420138,1215,51807,1.857427298489332,1117.0,51807.0,46.380483437779766,orta_ust,79,False,2,tali_kucuk
79T,KAYABAŞI KİPTAŞ - TAKSİM,43.03796,202.73,1.0854002985770317,656,30644,0.9821001322297004,725,30644,1.033750215403366,690.5,30644.0,44.37943519188993,orta_ust,79,False,3,uzun_kirsal
79Y,KAYABAŞI KİPTAŞ / KAYAŞEHİR - YENİBOSNA METRO,26.68201,132.27,2.215259008793194,1190,70338,1.824330948417924,1445,70338,2.019794978605559,1317.5,70338.0,53.38747628083492,orta_ust,79,False,3,uzun_kirsal
8,VALİEVLERİ - KADIKÖY,4.23445,22.46,4.083512279381873,525,9078,3.561202569228377,602,9078,3.822357424305125,563.5,9078.0,16.11002661934339,alt_ceyrek,8,False,2,tali_kucuk
80T,KAZLIÇEŞME - TAKSİM,12.02185,56.37,3.58326920509858,2812,121134,3.203864230441083,3145,121134,3.3935667177698314,2978.5,121134.0,40.66946449555145,orta_alt,80,False,0,orta_yogunluklu
82,KUYUMCUKENT - EMİNÖNÜ,18.90542,84.27,3.3769415683567425,1873,119577,3.448752212394863,1834,119577,3.4128468903758025,1853.5,119577.0,64.51416239546803,ust_ceyrek,82,False,0,orta_yogunluklu
85C,DAVUTPAŞA YTÜ - KAZLIÇEŞME,10.31346,50.83,2.7610053567019657,2267,64554,1.735773473001485,3606,64554,2.2483894148517254,2936.5,64554.0,21.983313468414774,alt_ceyrek,85,False,0,orta_yogunluklu
86V,EYÜPSULTAN - VEZNECİLER,7.9805,35.49,6.167225969347985,5870,288907,5.912398569340629,6123,288907,6.039812269344307,5996.5,288907.0,48.17927124155757,orta_ust,86,False,1,ana_arter
87,TOPKAPI / EDİRNEKAPI - TAKSİM,9.98803,50.4,6.753592092103805,2549,171943,6.5406178733938445,2632,171943,6.647104982748825,2590.5,171943.0,66.37444508782089,ust_ceyrek,87,False,0,orta_yogunluklu
88,SULTANGAZİ PERON - TOPKAPI,15.81731,73.47,3.39585766058409,2550,136969,3.0849437244351368,2807,136969,3.2404006925096134,2678.5,136969.0,51.136456972185925,orta_ust,88,False,0,orta_yogunluklu
88A,SULTANGAZİ PERON-YENİKAPI,18.96989,90.36,3.143652752969292,1462,87186,3.019724260736599,1522,87186,3.0816885068529456,1492.0,87186.0,58.43565683646113,orta_ust,88,False,2,tali_kucuk
89A,K.S.S. HASTANESİ - ZEYTİNBURNU,27.85735,130.54,1.8508091598719736,2703,139363,1.5275533310332654,3275,139363,1.6891812454526196,2989.0,139363.0,46.62529274004684,orta_ust,89,False,0,orta_yogunluklu
89B,KÜÇÜKÇEKMECE - AKSARAY,18.42714,90.61,2.9195164062189143,2767,148860,2.653844249674026,3044,148860,2.7866803279464705,2905.5,148860.0,51.2338668043366,orta_ust,89,False,0,orta_yogunluklu
89C,İETT İKİTELLİ GARAJI-TAKSİM,24.47163,121.07,3.939126478080932,2346,226147,3.5298665842543406,2618,226147,3.734496531167636,2482.0,226147.0,91.11482675261884,ust_ceyrek,89,False,0,orta_yogunluklu
89F,KÜÇÜKÇEKMECE-İSTOÇ,18.50548,89.28,3.242940680979012,575,34507,2.1335136059072446,874,34507,2.688227143443128,724.5,34507.0,47.628709454796414,orta_ust,89,False,2,tali_kucuk
89K,K.S.S. HASTANESİ - AKSARAY,26.18786,125.05,2.4992021208987256,3093,202433,2.1885708267100106,3532,202433,2.343886473804368,3312.5,202433.0,61.11184905660377,orta_ust,89,False,0,orta_yogunluklu
89M,MEHMET AKİF MAHALLESİ - ZEYTİNBURNU,20.26478,100.54,1.6221652689864663,1148,37738,1.5226866138973538,1223,37738,1.5724259414419102,1185.5,37738.0,31.832981864192323,orta_alt,89,False,2,tali_kucuk
89S,SÖĞÜTLÜÇEŞME - ZEYTİNBURNU,12.49583,70.71,3.331913531366596,3192,132899,3.162494199263209,3363,132899,3.2472038653149027,3277.5,132899.0,40.5488939740656,orta_alt,89,False,0,orta_yogunluklu
89T,K.S.S. HASTANESİ/ATAKENT-TAKSİM,37.02229,187.02,2.939288417650068,542,58980,2.59461616020576,614,58980,2.7669522889279143,578.0,58980.0,102.04152249134948,ust_ceyrek,89,False,3,uzun_kirsal
89YB,K.S.S. HASTANESİ/ATAKENT - BAKIRKÖY,27.6358,132.01,2.849951286399661,351,27645,2.7633505567024343,362,27645,2.806650921551048,356.5,27645.0,77.54558204768584,ust_ceyrek,89,False,3,uzun_kirsal
8A,BATI ATAŞEHİR / FİKİRTEPE - KADIKÖY,11.53106,58.45,4.852454594953309,5754,321959,4.434724227979883,6296,321959,4.643589411466596,6025.0,321959.0,53.43717842323652,orta_ust,8,False,1,ana_arter
8E,ESENEVLER - KADIKÖY,11.65283,58.4,5.615767750761402,2905,190102,5.60419282581995,2911,190102,5.609980288290676,2908.0,190102.0,65.37207702888583,ust_ceyrek,8,False,0,orta_yogunluklu
8K,TEPEÜSTÜ - ATAŞEHİR / KOZYATAĞI METRO,34.20432,82.75,1.467650869831647,30,1506,1.0006710476124865,44,1506,1.2341609587220668,37.0,1506.0,40.7027027027027,orta_alt,8,False,3,uzun_kirsal
8Y,SOYAK YENİŞEHİR - YENİSAHRA METRO,9.01011,44.54,5.276295183965567,100,4754,5.073360753813046,104,4754,5.174827968889307,102.0,4754.0,46.6078431372549,orta_ust,8,False,2,tali_kucuk
90,DRAMAN - EMİNÖNÜ,5.87523,23.82,4.577803562680604,2597,69848,7.5965213113619985,1565,69848,6.087162437021301,2081.0,69848.0,33.564632388274866,orta_alt,90,False,0,orta_yogunluklu
90B,DRAMAN - AKSARAY,3.77299,16.3,6.799921145499622,1160,29761,6.465498794081608,1220,29761,6.632709969790614,1190.0,29761.0,25.009243697478997,alt_ceyrek,90,False,2,tali_kucuk
91E,GÖZTEPE MAHALLESİ - AKSARAY,12.4679,61.32,4.8926375084970495,3278,199961,5.434790156846264,2951,199961,5.163713832671657,3114.5,199961.0,64.203242896131,ust_ceyrek,91,False,0,orta_yogunluklu
91M,FATİH MAHALLESİ YANYOL- MECİDİYEKÖY METROBÜS,15.30232,75.35,1.4384331027166883,176,3874,1.02912287023633,246,3874,1.2337779864765093,211.0,3874.0,18.36018957345972,alt_ceyrek,91,False,2,tali_kucuk
92,YENİ MAHALLE METRO - EMİNÖNÜ,20.21821,93.64,3.5239555806344067,649,46240,3.774005234045759,606,46240,3.648980407340083,627.5,46240.0,73.68924302788845,ust_ceyrek,92,False,2,tali_kucuk
92B,YENİ MAHALLE METRO / ATEŞTUĞLA - AKSARAY,14.21482,74.23,7.345463869490537,1952,203817,6.681428459107888,2146,203817,7.0134461642992125,2049.0,203817.0,99.4714494875549,ust_ceyrek,92,False,0,orta_yogunluklu
92C,HAZNEDAR - EMİNÖNÜ,16.42174,77.78,3.411233057699195,544,30474,3.411233057699195,544,30474,3.411233057699195,544.0,30474.0,56.01838235294117,orta_ust,92,False,2,tali_kucuk
92K,YENİ MAHALLE METRO / KİRAZLI - AKSARAY,16.24878,80.65,5.452717065527381,45,3987,3.6622726559512255,67,3987,4.557494860739303,56.0,3987.0,71.19642857142857,ust_ceyrek,92,False,2,tali_kucuk
92M,BAĞCILAR DEVLET HASTANESİ - MECİDİYEKÖY,21.51293,105.42,1.5426434990117757,1044,34647,1.488465631209144,1082,34647,1.5155545651104598,1063.0,34647.0,32.59360301034807,orta_alt,92,False,2,tali_kucuk
92T,BAĞCILAR DEVLET HASTANESİ - TAKSİM,20.22438,94.15,4.498612633670193,1308,119004,4.4043303329645305,1336,119004,4.451471483317362,1322.0,119004.0,90.01815431164901,ust_ceyrek,92,False,2,tali_kucuk
93,ZEYTİNBURNU - EMİNÖNÜ,16.89102,76.52,6.054526723649337,1576,161173,6.124476326361589,1558,161173,6.089501525005463,1567.0,161173.0,102.85449904275686,ust_ceyrek,93,False,2,tali_kucuk
93M,ZEYTİNBURNU - MECİDİYEKÖY,20.27741,97.96,3.8811938457326702,4652,366115,3.947379486302663,4574,366115,3.9142866660176665,4613.0,366115.0,79.3659223932365,ust_ceyrek,93,False,0,orta_yogunluklu
93T,ZEYTİNBURNU - TAKSİM,18.75683,89.22,6.012482544486141,2877,324454,5.810518065329737,2977,324454,5.911500304907939,2927.0,324454.0,110.84865049538776,ust_ceyrek,93,False,0,orta_yogunluklu
97,15 TEMMUZ MAHALLESİ - AKSARAY,18.44106,87.77,3.9134566717250254,9347,674557,4.167606187833408,8777,674557,4.040531429779216,9062.0,674557.0,74.43798278525712,ust_ceyrek,97,False,1,ana_arter
97A,BASINSİTESİ - EMİNÖNÜ,15.05365,69.44,4.338865322040289,1783,116458,4.660359559757733,1660,116458,4.499612440899011,1721.5,116458.0,67.6491431890793,ust_ceyrek,97,False,2,tali_kucuk
